Ticker
SFM
INSM
FTAI
CRS
HIMS
SSB
AIT
MLI
HALO
HQY
ENSG
CVLT
FN
CWST
RKLB
COOP
CRDO
EXLS
UMBF
AUR
RVMD
GTLS
BMI
NXT
ONB
SPXC
LRN
WTS
PRMB
HLNE
IONQ
BPMC
FLR
ESNT
TMHC
EAT
UFPI
RHP
EPRT
CORT
TRNO
GPI
LNTH
JXN
MMSI
CTRE
SIGI
OPCH
RMBS
KNF
SPSC
FSS
MARA
AHR
IDCC
DY
BCPC
STRL
MDGL
JBTM
QTWO
CMC
HOMB
CSWI
GATX
ATGE
FCFS
ZWS
MOGA
VRNS
GH
XTSLA
RDN
KTOS
ACIW
KRG
QLYS
MTH
ITRI
MOD
CDE
ALKS
CHX
SKY
NJR
BBIO
CADE
GBCI
TXNM
HWC
TGTX
CWAN
BIPC
AVAV
UBSI
SWX
ADMA
CNX
ESE
FFIN
POR
LUMN
ABG
BOX
ROAD
PIPR
GKOS
PECO
NOVT
BDC
IRT
OGS
SBRA
SANM
IRTC
MMS
PBH
ORA
SR
ESGR
BKH
AEIS
ACA
CVCO
PLMR
VLY
AROC
SLG
BCO
FTDR
CALM
SXT
SHAK
VRRM
AXSM
SKYW
ABCB
ITGR
SNEX
CBT
FELE
STNE
PCVX
CNO
EXPO
MGY
ALE
IBP
MWA
KTB
AUB
UPST
ASB
TENB
MAC
SFBS
SLAB
GLNG
AX
RDNT
ENS
PRIM
NPO
STEP
GVA
TMDX
NSIT
ANF
CYTK
RELY
KAI
OSIS
BE
CNR
SITM
OSCR
BOOT
KBH
NWE
CBZ
WK
ASTS
CNK
BCC
HRI
KFY
TDS
PJT
IBOC
MIR
HAE
PLXS
TCBI
PTCT
NHI
AVNT
UCB
BXMT
FUN
MGEE
SMPL
URBN
SKT
KRYS
LANC
GEO
DORM
MC
OTTR
AVA
SWTX
HASI
WAY
RNA
NE
ABM
WSFS
MATX
RNST
WDFC
RYTM
GHC
BNL
BL
DRS
FBP
GT
HL
MUR
BGC
POWI
FLG
CDP
ATMU
FULT
PCH
FRSH
NMIH
AWR
FUL
CRVL
LAUR
AKRO
ICUI
HEES
CBU
SATS
GMS
RUSHA
JOBY
MHO
SOUN
REZI
TPH
EBC
CWT
INTA
ACHR
CRC
CPK
CRNX
WHD
TGNA
GNW
UNF
TEX
BUR
FCPT
CARG
HGV
APLE
GFF
TTMI
SIG
PATK
ASO
SM
CATY
MGRC
AZZ
RIOT
HURN
ALRM
CPRX
BWIN
INDB
AI
APAM
NOG
TNET
PRGS
BOH
PSMT
WSBC
PFSI
SMTC
CALX
PRVA
PTGX
CLSKW
ACLX
CVBF
MYRG
YELP
BLKB
BKU
VCTR
ACVA
SRRK
NUVL
CAKE
AVPT
ENVA
GPOR
ASGN
MRCY
SFNC
LXP
LIVN
BANF
LTH
CXW
ZETA
SYNA
PRCT
NSP
UE
ATKR
VAL
TOWN
SSRM
EPAC
WNS
HCC
CON
UEC
TBBK
ALIT
PTEN
AKR
PRK
KAR
GSHD
WAFD
VCYT
HWKN
VC
FORM
RXO
COMP
PI
HNI
EVTC
VSEC
WD
FFBC
IOSP
CNS
SKWD
BRZE
CURB
OUT
RRR
SMMT
IVT
CHEF
FRME
NBTB
PTON
PAR
CRK
BANR
MQ
IPAR
AGX
CCOI
YOU
TRMK
LCII
VERX
UPWK
FIBK
AIR
AMBA
RUN
OI
ACAD
SBCF
DIOD
BCRX
VCEL
TRN
AIN
PBF
DAN
VIAV
PRDO
TDW
IESC
PPBI
HUBG
QBTS
PFS
RGTI
AEO
BATRK
STRA
IGT
SLNO
NATL
ALG
DOCN
OII
EFSC
CASH
LBRT
ADUS
EXTR
RIG
SYBT
GOLF
MGNI
ACLS
CSGS
OSW
REVG
LGND
TGI
BANC
PAYO
TGLS
OFG
NVCR
GRBK
DEI
SLVM
STNG
TWST
WOR
HE
PAGS
AGYS
HP
HBI
RAMP
ROCK
NTB
ALKT
MTX
DNLI
CNMD
BUSE
MIRM
JJSF
BTU
STC
SXI
LZB
FOLD
PHIN
HTO
BHVN
WLY
SHO
AGM
UFPT
SGRY
AVDX
HMN
PLUS
TVTX
NWN
KLIC
TARS
CORZ
FBNC
SHOO
CHCO
VSH
KMT
UNFI
LMND
POWL
SEM
MCY
ICFI
NNI
FBK
GNL
WERN
LMAT
JOE
KNTK
LTC
VYX
KGS
NIC
BEAM
DRH
UTI
SUPN
RPD
PGNY
SDRL
SMR
NWBI
MTRN
ARWR
SG
ENR
AGIO
PRM
ABR
DNOW
IIPR
WKC
CUBI
JBLU
INSW
VSCO
HLMN
ALHC
TNDM
FCF
DFIN
NMRK
NTCT
IDYA
CENTA
CCS
TRUP
DHT
SPNT
PRKS
ATRC
ARCB
NGVT
CSTM
ADEA
HI
LKFN
ARQT
KWR
PHR
GTY
LNN
MSGE
CRGY
TPC
KN
KYMR
ASAN
ELME
APGE
GEF
WRBY
STBA
USD
LION
UVV
HTH
HCI
DESP
STR
PD
DBRG
GBX
CWK
LEU
TNC
EYE
XMTR
DAVE
NBHC
ALEX
SDGR
ARI
FLYW
BKD
COCO
NEOG
ZD
WMK
EPC
HRMY
TCBK
CGON
ASTH
NTST
ROOT
APPN
ATEC
UPBD
TPB
PZZA
BHE
SONO
TWO
WT
WABC
MD
TFIN
MBC
AMR
BTSG
NHC
